nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,link,latitude,longitude
Taman Budaya Sentul City,Budaya,Wisata Budaya & Edukasi,Babakan Madang,Kabupaten Bogor,4.5,22727,https://www.google.com/maps/place/Taman+Budaya+Sentul+City/data=!4m7!3m6!1s0x2de423a153dbb7df:0xaac1aacd454d4019!8m2!3d-6.5840022!4d106.8827827!16s%2Fg%2F1hm2399fm!19sChIJ37fbU6Ej5C0RGUBNRc2qwao?authuser=0&hl=id&rclk=1,-6.5840022,106.8827827
Leuwi Kunten Sentul Bogor,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,1785,https://www.google.com/maps/place/Leuwi+Kunten+Sentul+Bogor/data=!4m7!3m6!1s0x2e69b9b3ba4bab7f:0x55c0be75aa77f03d!8m2!3d-6.578766!4d106.9189104!16s%2Fg%2F11n73frrc8!19sChIJf6tLurO5aS4RPfB3qnW-wFU?authuser=0&hl=id&rclk=1,-6.578766,106.9189104
ECOART PARK Sentul City,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,11780,https://www.google.com/maps/place/ECOART+PARK+Sentul+City/data=!4m7!3m6!1s0x2e69c6ebc0f289c5:0xf894747033caad39!8m2!3d-6.5687222!4d106.8457512!16s%2Fg%2F11b6x9_n9z!19sChIJxYnywOvGaS4ROa3KM3B0lPg?authuser=0&hl=id&rclk=1,-6.5687222,106.8457512
Goa Garunggang - Puncak Dua,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,765,https://www.google.com/maps/place/Goa+Garunggang+-+Puncak+Dua/data=!4m7!3m6!1s0x2e69b8f2b423c98f:0xdbb608bf20de3406!8m2!3d-6.57315!4d106.936201!16s%2Fg%2F11c6lp4wrz!19sChIJj8kjtPK4aS4RBjTeIL8Itts?authuser=0&hl=id&rclk=1,-6.57315,106.936201
Sentul Paradise Park,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.4,901,https://www.google.com/maps/place/Sentul+Paradise+Park/data=!4m7!3m6!1s0x2e69c7f6aaaaaaab:0x4f13a90f01e69731!8m2!3d-6.6142565!4d106.9085544!16s%2Fg%2F12qgwv_8h!19sChIJq6qqqvbHaS4RMZfmAQ-pE08?authuser=0&hl=id&rclk=1,-6.6142565,106.9085544
Curug Bidadari Sentul Paradise Bogor,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.6,4588,https://www.google.com/maps/place/Curug+Bidadari+Sentul+Paradise+Bogor/data=!4m7!3m6!1s0x2e69c12165130ec3:0xd6aa07e3c1d4c5e8!8m2!3d-6.6140213!4d106.9084002!16s%2Fg%2F11cs5nytgd!19sChIJww4TZSHBaS4R6MXUweMHqtY?authuser=0&hl=id&rclk=1,-6.6140213,106.9084002
Taman Wisata Alam Gunung Pancar,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4,4060,https://www.google.com/maps/place/Taman+Wisata+Alam+Gunung+Pancar/data=!4m7!3m6!1s0x2e69c7791e515175:0x3f7386a4724f7630!8m2!3d-6.5805618!4d106.9036852!16s%2Fg%2F11bw3c7jgt!19sChIJdVFRHnnHaS4RMHZPcqSGcz8?authuser=0&hl=id&rclk=1,-6.5805618,106.9036852
"Curug Aren, Sentul Forest Club",Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,444,"https://www.google.com/maps/place/Curug+Aren,+Sentul+Forest+Club/data=!4m7!3m6!1s0x2e69c703caf2518d:0x8f2b6f31e2a06f45!8m2!3d-6.6183819!4d106.9082798!16s%2Fg%2F11sbkbvnx4!19sChIJjVHyygPHaS4RRW-g4jFvK48?authuser=0&hl=id&rclk=1",-6.6183819,106.9082798
JungleLand Adventure Theme Park,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.4,31171,https://www.google.com/maps/place/JungleLand+Adventure+Theme+Park/data=!4m7!3m6!1s0x2e69c7094bce937d:0x4adbce6cd63515dd!8m2!3d-6.5722214!4d106.8947026!16s%2Fg%2F1hm50d40n!19sChIJfZPOSwnHaS4R3RU11mzO20o?authuser=0&hl=id&rclk=1,-6.5722214,106.8947026
Sentul Nirwana,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,2465,https://www.google.com/maps/place/Sentul+Nirwana/data=!4m7!3m6!1s0x2e69c775a9782cc9:0x77781998ad062007!8m2!3d-6.5815736!4d106.892206!16s%2Fg%2F11g8vqmdlj!19sChIJySx4qXXHaS4RByAGrZgZeHc?authuser=0&hl=id&rclk=1,-6.5815736,106.892206
Treking sentull,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,10291,https://www.google.com/maps/place/Treking+sentull/data=!4m7!3m6!1s0x2e69b8538fd00129:0xfa8b547834f0ac2c!8m2!3d-6.5893251!4d106.9546789!16s%2Fg%2F11cm02mrhj!19sChIJKQHQj1O4aS4RLKzwNHhUi_o?authuser=0&hl=id&rclk=1,-6.5893251,106.9546789
Leuwi Pangaduan,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.4,1421,https://www.google.com/maps/place/Leuwi+Pangaduan/data=!4m7!3m6!1s0x2e69c78b969cad9f:0x47d33c093aa63764!8m2!3d-6.6007184!4d106.9061239!16s%2Fg%2F11j6zh6h6p!19sChIJn62clovHaS4RZDemOgk800c?authuser=0&hl=id&rclk=1,-6.6007184,106.9061239
Tugu Pancakarsa Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,427,https://www.google.com/maps/place/Tugu+Pancakarsa+Sentul/data=!4m7!3m6!1s0x2e69c102371add19:0x712444476b1821dc!8m2!3d-6.5325362!4d106.8533392!16s%2Fg%2F11smfy4mgb!19sChIJGd0aNwLBaS4R3CEYa0dEJHE?authuser=0&hl=id&rclk=1,-6.5325362,106.8533392
Hutan Hujan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.7,340,https://www.google.com/maps/place/Hutan+Hujan+Sentul/data=!4m7!3m6!1s0x2e69b99106288ee3:0xa1a1a08723a58c1a!8m2!3d-6.5792586!4d106.9277932!16s%2Fg%2F11rc46fdmy!19sChIJ444oBpG5aS4RGoylI4egoaE?authuser=0&hl=id&rclk=1,-6.5792586,106.9277932
Wisata Bukit Domba,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,454,https://www.google.com/maps/place/Wisata+Bukit+Domba/data=!4m7!3m6!1s0x2e69c9004a61e28f:0xcb6829b09c739e1d!8m2!3d-6.6248368!4d106.9063456!16s%2Fg%2F11y66960h1!19sChIJj-JhSgDJaS4RHZ5znLApaMs?authuser=0&hl=id&rclk=1,-6.6248368,106.9063456
KM 0 Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,1432,https://www.google.com/maps/place/KM+0+Sentul/data=!4m7!3m6!1s0x2e69c7c77ef5d28b:0xff255ccc323e7103!8m2!3d-6.6191938!4d106.9014081!16s%2Fg%2F11kcjl3cv8!19sChIJi9L1fsfHaS4RA3E-MsxcJf8?authuser=0&hl=id&rclk=1,-6.6191938,106.9014081
Curug Cinta Putri Kencana,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,313,https://www.google.com/maps/place/Curug+Cinta+Putri+Kencana/data=!4m7!3m6!1s0x2e69b838fc4ad18f:0xe86fe16504b7013a!8m2!3d-6.6078603!4d106.943515!16s%2Fg%2F11c1pqtqx8!19sChIJj9FK_Di4aS4ROgG3BGXhb-g?authuser=0&hl=id&rclk=1,-6.6078603,106.943515
Curug Putri Kencana,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,1725,https://www.google.com/maps/place/Curug+Putri+Kencana/data=!4m7!3m6!1s0x2e69b869f7bedbd7:0xf83e4aee23eb911b!8m2!3d-6.5977311!4d106.9350111!16s%2Fg%2F11cs01tk_c!19sChIJ19u-92m4aS4RG5HrI-5KPvg?authuser=0&hl=id&rclk=1,-6.5977311,106.9350111
Next Level Adventures (NLA),Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,255,https://www.google.com/maps/place/Next+Level+Adventures+%28NLA%29/data=!4m7!3m6!1s0x2e69c725e00956f1:0xedab3d779a8c8a67!8m2!3d-6.5770793!4d106.8905171!16s%2Fg%2F11py7lgqn6!19sChIJ8VYJ4CXHaS4RZ4qMmnc9q-0?authuser=0&hl=id&rclk=1,-6.5770793,106.8905171
Wisata Edukasi TK SD di Bogor,Budaya,Wisata Budaya & Edukasi,Babakan Madang,Kabupaten Bogor,4.9,1615,https://www.google.com/maps/place/Wisata+Edukasi+TK+SD+di+Bogor/data=!4m7!3m6!1s0x2e69c6eb1a26803b:0xf7a84ee1b7a1f68b!8m2!3d-6.5757239!4d106.8403557!16s%2Fg%2F11bymykydq!19sChIJO4AmGuvGaS4Ri_aht-FOqPc?authuser=0&hl=id&rclk=1,-6.5757239,106.8403557
Taman Hutan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,58,https://www.google.com/maps/place/Taman+Hutan+Sentul/data=!4m7!3m6!1s0x2e69b883f8d3fdc7:0xfd03589b8d05e548!8m2!3d-6.5720218!4d106.9129724!16s%2Fg%2F11fzy_4_lv!19sChIJx_3T-IO4aS4RSOUFjZtYA_0?authuser=0&hl=id&rclk=1,-6.5720218,106.9129724
sentul eco edu tourism forest,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,313,https://www.google.com/maps/place/sentul+eco+edu+tourism+forest/data=!4m7!3m6!1s0x2e69b94cb04ae973:0xf5158b999cd05369!8m2!3d-6.5724577!4d106.9129037!16s%2Fg%2F11fmpxsyt4!19sChIJc-lKsEy5aS4RaVPQnJmLFfU?authuser=0&hl=id&rclk=1,-6.5724577,106.9129037
Taman Fathan Hambalang,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4,4853,https://www.google.com/maps/place/Taman+Fathan+Hambalang/data=!4m7!3m6!1s0x2e69c17136f4205f:0x22e4edc2296f993d!8m2!3d-6.5409841!4d106.8854931!16s%2Fg%2F11j23nz5cc!19sChIJXyD0NnHBaS4RPZlvKcLt5CI?authuser=0&hl=id&rclk=1,-6.5409841,106.8854931
Gunung Pancar Tour Wisata Hot Spring Water,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.6,505,https://www.google.com/maps/place/Gunung+Pancar+Tour+Wisata+Hot+Spring+Water/data=!4m7!3m6!1s0x2e69b87f6d95e303:0x157f3ab64484c1c6!8m2!3d-6.5808538!4d106.9046265!16s%2Fg%2F1pzqrsk_l!19sChIJA-OVbX-4aS4RxsGERLY6fxU?authuser=0&hl=id&rclk=1,-6.5808538,106.9046265
Ah Poong Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,9431,https://www.google.com/maps/place/Ah+Poong+Sentul/data=!4m7!3m6!1s0x2e69c6ec0ebe7b61:0x2bcec953608237d!8m2!3d-6.5703523!4d106.8460526!16s%2Fg%2F11fxx4p67c!19sChIJYXu-DuzGaS4RfSMINpXsvAI?authuser=0&hl=id&rclk=1,-6.5703523,106.8460526
Kedai Tepi Sungai Leuwi Goong,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.9,294,https://www.google.com/maps/place/Kedai+Tepi+Sungai+Leuwi+Goong/data=!4m7!3m6!1s0x2e69b9bdafdd6049:0x9575eced6b51d4ff!8m2!3d-6.5786943!4d106.9185443!16s%2Fg%2F11rv3vcjcj!19sChIJSWDdr725aS4R_9RRa-3sdZU?authuser=0&hl=id&rclk=1,-6.5786943,106.9185443
Garuda Farm Sentul - WISATA EDUKASI ANAK TK DAN SD,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.5,146,https://www.google.com/maps/place/Garuda+Farm+Sentul+-+WISATA+EDUKASI+ANAK+TK+DAN+SD/data=!4m7!3m6!1s0x2e69c7fb3e23845b:0xdcd13545ddd61e02!8m2!3d-6.6278944!4d106.9115186!16s%2Fg%2F11fy1kdnq_!19sChIJW4QjPvvHaS4RAh7W3UU10dw?authuser=0&hl=id&rclk=1,-6.6278944,106.9115186
Trekking Sentul | Private Guide Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.8,739,https://www.google.com/maps/place/Trekking+Sentul+%7C+Private+Guide+Sentul/data=!4m7!3m6!1s0x2e69b9d60c0f41d9:0x28b46af343e509d9!8m2!3d-6.5890851!4d106.9155011!16s%2Fg%2F11lh4wzvkd!19sChIJ2UEPDNa5aS4R2QnlQ_NqtCg?authuser=0&hl=id&rclk=1,-6.5890851,106.9155011
Hutan Pinus Gunung Pancar Camp Outbound,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.1,1070,https://www.google.com/maps/place/Hutan+Pinus+Gunung+Pancar+Camp+Outbound/data=!4m7!3m6!1s0x2e69c78788c45c61:0x3dca18f5623576de!8m2!3d-6.5812174!4d106.903826!16s%2Fg%2F11c3k6gv06!19sChIJYVzEiIfHaS4R3nY1YvUYyj0?authuser=0&hl=id&rclk=1,-6.5812174,106.903826
Pesona Alam Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.9,14,https://www.google.com/maps/place/Pesona+Alam+Sentul/data=!4m7!3m6!1s0x2e69c755baf5635f:0x574235d1b12a28bd!8m2!3d-6.5773777!4d106.8902224!16s%2Fg%2F11v03m0yxf!19sChIJX2P1ulXHaS4RvSgqsdE1Qlc?authuser=0&hl=id&rclk=1,-6.5773777,106.8902224
Area Berendam 3 Rasa,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,46,https://www.google.com/maps/place/Area+Berendam+3+Rasa/data=!4m7!3m6!1s0x2e69b87f7705e1f3:0xe7a01d5871ae2603!8m2!3d-6.5865118!4d106.9126425!16s%2Fg%2F11f3r97x9r!19sChIJ8-EFd3-4aS4RAyaucVgdoOc?authuser=0&hl=id&rclk=1,-6.5865118,106.9126425
Parkiran Leuwi Hejo-Posyandu Anggrek,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.5,245,https://www.google.com/maps/place/Parkiran+Leuwi+Hejo-Posyandu+Anggrek/data=!4m7!3m6!1s0x2e69b929491f5f6b:0xc2ab1c2fcd614397!8m2!3d-6.5891879!4d106.9507415!16s%2Fg%2F11q2ntkwlw!19sChIJa18fSSm5aS4Rl0NhzS8cq8I?authuser=0&hl=id&rclk=1,-6.5891879,106.9507415
Curug Mekar (Batas Jonggol-Sentul),Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,121,https://www.google.com/maps/place/Curug+Mekar+%28Batas+Jonggol-Sentul%29/data=!4m7!3m6!1s0x2e69b9de8eddfd5f:0xb29b8b23ae5f4817!8m2!3d-6.5919944!4d106.9448831!16s%2Fg%2F11lgjjdmg6!19sChIJX_3djt65aS4RF0hfriOLm7I?authuser=0&hl=id&rclk=1,-6.5919944,106.9448831
Curug goa Cimacan,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,21,https://www.google.com/maps/place/Curug+goa+Cimacan/data=!4m7!3m6!1s0x2e69b9fdf3ea3ca3:0x503e4fe6485cf933!8m2!3d-6.5932709!4d106.9400996!16s%2Fg%2F11j8425wkp!19sChIJozzq8_25aS4RM_lcSOZPPlA?authuser=0&hl=id&rclk=1,-6.5932709,106.9400996
Gunung Astana Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.8,13,https://www.google.com/maps/place/Gunung+Astana+Sentul/data=!4m7!3m6!1s0x2e69b949eccc8613:0xcff0d3044ac6f831!8m2!3d-6.5878257!4d106.9155138!16s%2Fg%2F11fnlw7lqc!19sChIJE4bM7Em5aS4RMfjGSgTT8M8?authuser=0&hl=id&rclk=1,-6.5878257,106.9155138
Hiking Alam Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,5,6,https://www.google.com/maps/place/Hiking+Alam+Sentul/data=!4m7!3m6!1s0x2e69c777c58efb85:0x8e5e10698a13ad1f!8m2!3d-6.5864587!4d106.8815993!16s%2Fg%2F11ry30yz5s!19sChIJhfuOxXfHaS4RH60TimkQXo4?authuser=0&hl=id&rclk=1,-6.5864587,106.8815993
Trekking Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,5,29,https://www.google.com/maps/place/Trekking+Sentul/data=!4m7!3m6!1s0x2e69c1528f5c63ef:0x7590a9d2a6eb043c!8m2!3d-6.5211331!4d106.8502879!16s%2Fg%2F11v5sgklqk!19sChIJ72Ncj1LBaS4RPATrptKpkHU?authuser=0&hl=id&rclk=1,-6.5211331,106.8502879
Bukit Batu Sirip Hiu,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,3,https://www.google.com/maps/place/Bukit+Batu+Sirip+Hiu/data=!4m7!3m6!1s0x2e69c7eab8aba46d:0x9bc0c78ba33a758!8m2!3d-6.6173879!4d106.8918564!16s%2Fg%2F11tjdv3stt!19sChIJbaSruOrHaS4RWKczungMvAk?authuser=0&hl=id&rclk=1,-6.6173879,106.8918564
Curug kanyere,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,106,https://www.google.com/maps/place/Curug+kanyere/data=!4m7!3m6!1s0x2e69c75ef85387fb:0xd554c7bd1573ed15!8m2!3d-6.6201226!4d106.9097177!16s%2Fg%2F11rfscphh7!19sChIJ-4dT-F7HaS4RFe1zFb3HVNU?authuser=0&hl=id&rclk=1,-6.6201226,106.9097177
Curug Leuwi Asih,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,414,https://www.google.com/maps/place/Curug+Leuwi+Asih/data=!4m7!3m6!1s0x2e69b9471d753e91:0x43b13f3c1518860d!8m2!3d-6.5883126!4d106.9287126!16s%2Fg%2F11h4mnsqbm!19sChIJkT51HUe5aS4RDYYYFTw_sUM?authuser=0&hl=id&rclk=1,-6.5883126,106.9287126
Curug Anggraeni,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,75,https://www.google.com/maps/place/Curug+Anggraeni/data=!4m7!3m6!1s0x2e69c7c7fac1b1b5:0x831f22cd9cea9d57!8m2!3d-6.5710359!4d106.9097279!16s%2Fg%2F11kg9p09md!19sChIJtbHB-sfHaS4RV53qnM0iH4M?authuser=0&hl=id&rclk=1,-6.5710359,106.9097279
Curug Love,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.7,54,https://www.google.com/maps/place/Curug+Love/data=!4m7!3m6!1s0x2e69b907127f5391:0x87ab8647fa60b670!8m2!3d-6.60815!4d106.9441085!16s%2Fg%2F11s5fptlt8!19sChIJkVN_Ege5aS4RcLZg-keGq4c?authuser=0&hl=id&rclk=1,-6.60815,106.9441085
Curug bayawak,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,37,https://www.google.com/maps/place/Curug+bayawak/data=!4m7!3m6!1s0x2e69c719778596cf:0x2e85fa4cb2582eda!8m2!3d-6.571076!4d106.8821491!16s%2Fg%2F11pwr_nb41!19sChIJz5aFdxnHaS4R2i5Yskz6hS4?authuser=0&hl=id&rclk=1,-6.571076,106.8821491
Tempat wisata,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,5,1,https://www.google.com/maps/place/Tempat+wisata/data=!4m7!3m6!1s0x2e69c7d54d0af891:0x413cf6a0cb15bcac!8m2!3d-6.6228393!4d106.9071229!16s%2Fg%2F11l6zwyx47!19sChIJkfgKTdXHaS4RrLwVy6D2PEE?authuser=0&hl=id&rclk=1,-6.6228393,106.9071229
trekking goa garunggang leuwi asih & Leuwi hejo,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.7,22,https://www.google.com/maps/place/trekking+goa+garunggang+leuwi+asih+%26+Leuwi+hejo/data=!4m7!3m6!1s0x2e69b9228eac4f03:0x9b3cff255d8da1a3!8m2!3d-6.5884365!4d106.9292266!16s%2Fg%2F11lt6hh5db!19sChIJA0-sjiK5aS4Ro6GNXSX_PJs?authuser=0&hl=id&rclk=1,-6.5884365,106.9292266
Kolam renang pancar,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.2,58,https://www.google.com/maps/place/Kolam+renang+pancar/data=!4m7!3m6!1s0x2e69b9519c5cc30f:0x64b7af8e11700f3e!8m2!3d-6.574515!4d106.9129858!16s%2Fg%2F11srgx9xwg!19sChIJD8NcnFG5aS4RPg9wEY6vt2Q?authuser=0&hl=id&rclk=1,-6.574515,106.9129858
Curug Ciung,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.8,28,https://www.google.com/maps/place/Curug+Ciung/data=!4m7!3m6!1s0x2e69b792b09a9149:0xf74569942879a3e1!8m2!3d-6.624111!4d106.921417!16s%2Fg%2F11t17p3h35!19sChIJSZGasJK3aS4R4aN5KJRpRfc?authuser=0&hl=id&rclk=1,-6.624111,106.921417
Pojokan Bukit Bidadari,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,21,https://www.google.com/maps/place/Pojokan+Bukit+Bidadari/data=!4m7!3m6!1s0x2e69c7d4e3da3647:0xfdca3df86786e439!8m2!3d-6.6141016!4d106.9095314!16s%2Fg%2F11q86j1r58!19sChIJRzba49THaS4ROeSGZ_g9yv0?authuser=0&hl=id&rclk=1,-6.6141016,106.9095314
Traveling off-road sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.8,27,https://www.google.com/maps/place/Traveling+off-road+sentul/data=!4m7!3m6!1s0x2e69c76c19268dfd:0x6665be07dbac0f85!8m2!3d-6.5850016!4d106.8819262!16s%2Fg%2F11svq_lmr4!19sChIJ_Y0mGWzHaS4RhQ-s2we-ZWY?authuser=0&hl=id&rclk=1,-6.5850016,106.8819262
Curug Cigede,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4,81,https://www.google.com/maps/place/Curug+Cigede/data=!4m7!3m6!1s0x2e69c11e4dd6b08b:0x71580eccce8b9fe9!8m2!3d-6.520396!4d106.8629844!16s%2Fg%2F11gc9xqj23!19sChIJi7DWTR7BaS4R6Z-LzswOWHE?authuser=0&hl=id&rclk=1,-6.520396,106.8629844
CURUG BARONG LEUWI HEJO,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.2,61,https://www.google.com/maps/place/CURUG+BARONG+LEUWI+HEJO/data=!4m7!3m6!1s0x2e69b950524a78c5:0xd55206952f809881!8m2!3d-6.5927379!4d106.9550966!16s%2Fg%2F11krtyypwl!19sChIJxXhKUlC5aS4RgZiAL5UGUtU?authuser=0&hl=id&rclk=1,-6.5927379,106.9550966
HUTAN PINUS ( Sentul eco edu tourism forest Office),Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,167,https://www.google.com/maps/place/HUTAN+PINUS+%28+Sentul+eco+edu+tourism+forest+Office%29/data=!4m7!3m6!1s0x2e69b89d6fd4f48d:0x90c708fcff435acf!8m2!3d-6.5709807!4d106.9131628!16s%2Fg%2F11gbfc198_!19sChIJjfTUb524aS4Rz1pD__wIx5A?authuser=0&hl=id&rclk=1,-6.5709807,106.9131628
Paintball Sentul,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.9,431,https://www.google.com/maps/place/Paintball+Sentul/data=!4m7!3m6!1s0x2e69c7028dcfa381:0xc7aa2300e88e8856!8m2!3d-6.5715195!4d106.8592497!16s%2Fg%2F11bwfmgcpq!19sChIJgaPPjQLHaS4RVoiO6AAjqsc?authuser=0&hl=id&rclk=1,-6.5715195,106.8592497
Hiburan dan Wisata,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.8,6,https://www.google.com/maps/place/Hiburan+dan+Wisata/data=!4m7!3m6!1s0x2e69b98e5ad95d9f:0x9786d033db0b83c8!8m2!3d-6.5787718!4d106.9184429!16s%2Fg%2F11qp0554_n!19sChIJn13ZWo65aS4RyIML2zPQhpc?authuser=0&hl=id&rclk=1,-6.5787718,106.9184429
Bigstone Riverside,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.5,90,https://www.google.com/maps/place/Bigstone+Riverside/data=!4m7!3m6!1s0x2e69b920f0e38921:0xee7b19503e11474e!8m2!3d-6.5854989!4d106.9536601!16s%2Fg%2F11v030z5wr!19sChIJIYnj8CC5aS4RTkcRPlAZe-4?authuser=0&hl=id&rclk=1,-6.5854989,106.9536601
Saung Offroad & Outbound Pavo Sentul,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.7,55,https://www.google.com/maps/place/Saung+Offroad+%26+Outbound+Pavo+Sentul/data=!4m7!3m6!1s0x2e69c74f6c0a47d3:0x7aeb63594feecf81!8m2!3d-6.5716609!4d106.8595304!16s%2Fg%2F11vhh735kt!19sChIJ00cKbE_HaS4Rgc_uT1lj63o?authuser=0&hl=id&rclk=1,-6.5716609,106.8595304
pemandian air panas,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,77,https://www.google.com/maps/place/pemandian+air+panas/data=!4m7!3m6!1s0x2e69b97b26c2341d:0x6678d85baf2e43f3!8m2!3d-6.582021!4d106.924129!16s%2Fg%2F11fwxcr9d5!19sChIJHTTCJnu5aS4R80Mur1vYeGY?authuser=0&hl=id&rclk=1,-6.582021,106.924129
Villa Bukit Hambalang,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.4,2968,https://www.google.com/maps/place/Villa+Bukit+Hambalang/data=!4m7!3m6!1s0x2e69c0b43f5f00ff:0x36dc112457c58c73!8m2!3d-6.5388548!4d106.8927727!16s%2Fg%2F11b6srf74x!19sChIJ_wBfP7TAaS4Rc4zFVyQR3DY?authuser=0&hl=id&rclk=1,-6.5388548,106.8927727
Wahana Air Race,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,3,https://www.google.com/maps/place/Wahana+Air+Race/data=!4m7!3m6!1s0x2e69c767fcc22ae7:0x5f016524727bd431!8m2!3d-6.5727127!4d106.8956902!16s%2Fg%2F11qb512r7_!19sChIJ5yrC_GfHaS4RMdR7ciRlAV8?authuser=0&hl=id&rclk=1,-6.5727127,106.8956902
Snowville Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.8,37,https://www.google.com/maps/place/Snowville+Sentul/data=!4m7!3m6!1s0x2e69c7cb3e564a53:0x89f3a6fbda834c09!8m2!3d-6.5972946!4d106.86374!16s%2Fg%2F11y91x6pjf!19sChIJU0pWPsvHaS4RCUyD2vum84k?authuser=0&hl=id&rclk=1,-6.5972946,106.86374
PAKET GATHERING MURAH SENTUL - AURORA TREKING SENTUL,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,5,https://www.google.com/maps/place/PAKET+GATHERING+MURAH+SENTUL+-+AURORA+TREKING+SENTUL/data=!4m7!3m6!1s0x2e69c9570e753105:0x82a095738d346a16!8m2!3d-6.6317431!4d106.9027099!16s%2Fg%2F11np3jn9x0!19sChIJBTF1DlfJaS4RFmo0jXOVoII?authuser=0&hl=id&rclk=1,-6.6317431,106.9027099
AGROWISATA HAMBALANG - VILLA BUKIT HAMBALANG,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.3,38,https://www.google.com/maps/place/AGROWISATA+HAMBALANG+-+VILLA+BUKIT+HAMBALANG/data=!4m7!3m6!1s0x2e69c7f3618ae8ad:0xaf9972f3630bf715!8m2!3d-6.5389006!4d106.8925127!16s%2Fg%2F11g2wv9p5h!19sChIJreiKYfPHaS4RFfcLY_Nyma8?authuser=0&hl=id&rclk=1,-6.5389006,106.8925127
